"group_id","file_path","file_size","width","height","format","original_date","exif_metadata","distance"
"GROUP_1","C:\Users\cosim\Desktop\Utility\4_Universita\MAGISTRALE\SanRaffaele\1_ANNO\Trattamento_dei_dati_multimediali\Progetto\multimedia-image-deduplication\images\6758404104 - Copia.jpg","16137753","9504","6336","JPG","2026-03-09T15:21:54","make=SONY | model=ILCE-7RM5 | software=Capture One Macintosh | x_resolution=300 dots per inch | y_resolution=300 dots per inch | resolution_unit=Inch | datetime_original=2026:03:09 14:21:54 | datetime_digitized=2026:03:09 14:21:54 | subsec_time_original=332 | exposure_time=0.02 sec | f_number=f/2,8 | iso=100 | focal_length=35 mm | focal_length_35mm=35 mm | exposure_bias=0 EV | aperture=f/2,8 | max_aperture=f/2,8 | metering_mode=Multi-segment | white_balance=Auto white balance | flash=Flash did not fire | exposure_program=Aperture priority | exif_image_width=9504 pixels | exif_image_height=6336 pixels | digital_zoom_ratio=1 | scene_capture_type=Standard | contrast=None | saturation=None | sharpness=None | lens_model=TAMRON 35-100mm F2.8 A078 E","0.0"
"GROUP_1","C:\Users\cosim\Desktop\Utility\4_Universita\MAGISTRALE\SanRaffaele\1_ANNO\Trattamento_dei_dati_multimediali\Progetto\multimedia-image-deduplication\images\6758404104.jpg","16137753","9504","6336","JPG","2026-03-09T15:21:54","make=SONY | model=ILCE-7RM5 | software=Capture One Macintosh | x_resolution=300 dots per inch | y_resolution=300 dots per inch | resolution_unit=Inch | datetime_original=2026:03:09 14:21:54 | datetime_digitized=2026:03:09 14:21:54 | subsec_time_original=332 | exposure_time=0.02 sec | f_number=f/2,8 | iso=100 | focal_length=35 mm | focal_length_35mm=35 mm | exposure_bias=0 EV | aperture=f/2,8 | max_aperture=f/2,8 | metering_mode=Multi-segment | white_balance=Auto white balance | flash=Flash did not fire | exposure_program=Aperture priority | exif_image_width=9504 pixels | exif_image_height=6336 pixels | digital_zoom_ratio=1 | scene_capture_type=Standard | contrast=None | saturation=None | sharpness=None | lens_model=TAMRON 35-100mm F2.8 A078 E","0.0"
"GROUP_2","C:\Users\cosim\Desktop\Utility\4_Universita\MAGISTRALE\SanRaffaele\1_ANNO\Trattamento_dei_dati_multimediali\Progetto\multimedia-image-deduplication\images\colorbar - Copia.png","179","256","32","PNG","","","0.0"
"GROUP_2","C:\Users\cosim\Desktop\Utility\4_Universita\MAGISTRALE\SanRaffaele\1_ANNO\Trattamento_dei_dati_multimediali\Progetto\multimedia-image-deduplication\images\colorbar.png","179","256","32","PNG","","","0.0"
